DATE,PRCP,SNOW,TMAX,TMIN,AVG_Temp
5/9/2001,0,0,24.4,11.1,17.75
5/10/2001,0,0,27.8,15.6,21.7
5/11/2001,0,0,30,17.2,23.6
5/12/2001,0,0,30,14.4,22.2
5/13/2001,0,0,20.6,12.2,16.4
5/14/2001,0,0,20.6,10,15.3
5/15/2001,0,0,22.8,10,16.4
5/16/2001,0,0,16.7,11.7,14.2
5/17/2001,0,0,17.2,11.7,14.45
5/18/2001,1.8,0,15.6,11.7,13.65
5/19/2001,0,0,26.7,15,20.85
5/20/2001,0,0,17.8,12.2,15
5/21/2001,12.7,0,13.9,11.7,12.8
5/22/2001,21.3,0,15,12.8,13.9
5/23/2001,5.3,0,15.6,12.8,14.2
5/24/2001,0,0,18.9,12.8,15.85
5/25/2001,1,0,13.9,11.7,12.8
5/26/2001,1.5,0,17.8,11.7,14.75
5/27/2001,2,0,21.1,13.9,17.5
5/28/2001,1.3,0,22.2,13.9,18.05
5/29/2001,4.6,0,23.9,14.4,19.15
5/30/2001,0,0,18.3,12.2,15.25
5/31/2001,0,0,20.6,10,15.3
6/1/2001,20.8,0,20,10,15
6/2/2001,16.5,0,22.2,14.4,18.3
6/3/2001,0.8,0,22.8,15.6,19.2
6/4/2001,0,0,23.3,13.3,18.3
6/5/2001,0,0,24.4,15,19.7
6/6/2001,0,0,23.9,18.3,21.1
6/7/2001,0,0,25,16.1,20.55
6/8/2001,0,0,26.7,16.7,21.7
6/9/2001,0,0,26.7,16.1,21.4
6/10/2001,0,0,26.7,16.7,21.7
6/11/2001,8.4,0,27.2,17.8,22.5
6/12/2001,0,0,28.3,17.8,23.05
6/13/2001,0,0,26.1,20.6,23.35
6/14/2001,0,0,28.3,20,24.15
6/15/2001,0,0,28.3,21.1,24.7
6/16/2001,0.5,0,28.3,21.1,24.7
6/17/2001,38.9,0,25,18.3,21.65
6/18/2001,0,0,28.9,19.4,24.15
6/19/2001,0,0,30,21.1,25.55
6/20/2001,0,0,31.1,20.6,25.85
6/21/2001,6.4,0,22.8,19.4,21.1
6/22/2001,0,0,26.1,19.4,22.75
6/23/2001,41.7,0,25,20.6,22.8
6/24/2001,0.5,0,23.9,17.8,20.85
6/25/2001,0,0,27.8,18.3,23.05
6/26/2001,0,0,31.1,20,25.55
6/27/2001,0,0,31.7,22.8,27.25
6/28/2001,0,0,32.8,23.9,28.35
6/29/2001,0,0,27.8,23.3,25.55
6/30/2001,0,0,32.8,23.9,28.35
7/1/2001,6.1,0,30.6,16.7,23.65
7/2/2001,0,0,22.8,13.3,18.05
7/3/2001,0,0,24.4,14.4,19.4
7/4/2001,7.9,0,26.1,18.9,22.5
7/5/2001,2,0,28.3,19.4,23.85
7/6/2001,0,0,22.2,16.1,19.15
7/7/2001,0,0,26.1,16.7,21.4
7/8/2001,14.2,0,22.8,17.8,20.3
7/9/2001,0,0,30.6,20.6,25.6
7/10/2001,0,0,30.6,22.2,26.4
7/11/2001,0.3,0,27.2,19.4,23.3
7/12/2001,0,0,25.6,17.8,21.7
7/13/2001,0,0,25,16.7,20.85
7/14/2001,0,0,26.1,17.2,21.65
7/15/2001,0,0,27.2,17.2,22.2
7/16/2001,0,0,29.4,18.9,24.15
7/17/2001,15.7,0,29.4,20.6,25
7/18/2001,0,0,26.7,20,23.35
7/19/2001,0,0,24.4,18.3,21.35
7/20/2001,0,0,26.7,17.2,21.95
7/21/2001,0,0,29.4,18.9,24.15
7/22/2001,0,0,28.9,19.4,24.15
7/23/2001,0,0,31.1,20.6,25.85
7/24/2001,0,0,33.3,23.3,28.3
7/25/2001,0,0,34.4,25,29.7
7/26/2001,5.6,0,25.6,18.9,22.25
7/27/2001,0,0,24.4,16.7,20.55
7/28/2001,0,0,26.7,17.2,21.95
7/29/2001,0,0,25,18.9,21.95
7/30/2001,0,0,24.4,17.2,20.8
7/31/2001,0,0,28.9,17.2,23.05
8/1/2001,0,0,32.2,20.6,26.4
8/2/2001,0,0,33.3,21.7,27.5
8/3/2001,0,0,29.4,22.8,26.1
8/4/2001,0,0,29.4,22.2,25.8
8/5/2001,0,0,32.2,21.1,26.65
8/6/2001,0,0,34.4,23.9,29.15
8/7/2001,0,0,37.2,25.6,31.4
8/8/2001,0,0,37.2,26.1,31.65
8/9/2001,0,0,39.4,27.8,33.6
8/10/2001,10.2,0,36.1,23.9,30
8/11/2001,3.6,0,25,20.6,22.8
8/12/2001,15,0,24.4,22.2,23.3
